NU_ANO;CO_CURSO;CO_GRUPO;CO_REGIAO_CURSO;CO_UF_CURSO;CO_MODALIDADE;MEDIA_NT_FG
2021;13216;4004;2;27;1.0;49.4
2021;13277;4004;2;29;1.0;43.09666666666667
2021;13401;4004;2;25;1.0;45.428125
2021;13446;4004;2;25;1.0;45.77234042553192
2021;13595;4004;2;26;1.0;45.98306451612903
2021;13980;4004;2;23;1.0;42.925
2021;17898;4004;2;23;1.0;33.575
2021;18267;4004;2;29;1.0;41.85
2021;18558;4004;2;22;1.0;35.0375
2021;18559;4004;2;22;1.0;40.04642857142857
2021;18584;4004;2;23;1.0;32.895348837209305
2021;18683;4004;2;28;1.0;41.08965517241379
2021;19042;4004;2;29;1.0;36.435
2021;19047;4004;2;25;1.0;31.92456140350877
2021;20030;4004;2;29;1.0;37.693442622950826
2021;20239;4004;2;29;1.0;41.0
2021;20933;4004;2;24;1.0;45.36470588235294
2021;22061;4004;1;13;1.0;46.15
2021;37862;4004;2;26;1.0;31.12280701754386
2021;41238;4004;1;17;1.0;38.018181818181816
2021;43664;4004;1;13;1.0;30.969565217391303
2021;46377;4004;2;23;1.0;41.7
2021;48205;4004;2;26;1.0;29.276785714285715
2021;57606;4004;2;24;1.0;35.7
2021;58808;4004;1;17;1.0;26.816666666666663
2021;59122;4004;2;23;1.0;45.32222222222222
2021;62484;4004;1;13;1.0;44.12272727272728
2021;67092;4004;2;26;1.0;35.0
2021;73519;4004;2;29;1.0;48.03333333333333
2021;83388;4004;2;26;1.0;36.5
2021;88084;4004;2;22;1.0;31.43684210526316
2021;91262;4004;2;24;1.0;54.3
2021;98305;4004;1;14;1.0;40.58181818181818
2021;98665;4004;1;14;1.0;27.33333333333333
2021;98764;4004;2;27;1.0;31.547058823529408
2021;98957;4004;1;13;1.0;29.857142857142858
2021;101942;4004;2;27;1.0;40.75217391304348
2021;106996;4004;1;13;1.0;32.369473684210526
2021;107920;4004;2;21;1.0;29.194736842105264
2021;118468;4004;2;26;1.0;46.18
2021;318882;4004;1;11;1.0;42.3
2021;1070485;4004;2;22;1.0;33.38823529411765
2021;1102628;4004;2;26;1.0;41.16981132075472
2021;1148708;4004;1;17;1.0;40.265
2021;1166783;4004;2;21;1.0;35.19
2021;1181115;4004;2;23;1.0;33.482608695652175
2021;1187671;4004;1;15;1.0;35.7952380952381
2021;1190071;4004;2;25;1.0;34.57575757575758
2021;1190145;4004;2;22;1.0;24.383333333333336
2021;1258063;4004;2;25;1.0;31.275
2021;1265453;4004;2;25;1.0;31.2
2021;1267543;4004;1;16;1.0;44.31515151515152
2021;1269545;4004;2;21;1.0;39.78888888888889
2021;1270596;4004;2;23;1.0;33.96551724137931
2021;1272079;4004;2;23;1.0;40.6875
2021;1288002;4004;2;26;1.0;48.833333333333336
2021;1299927;4004;2;23;1.0;37.6
2021;1300284;4004;1;16;1.0;27.9
2021;1306689;4004;2;26;1.0;37.6945945945946
2021;1315444;4004;2;24;1.0;43.21428571428572
2021;1322390;4004;2;26;1.0;31.23703703703704
2021;1322665;4004;2;25;1.0;34.652631578947364
2021;1376131;4004;2;23;1.0;37.03125
2021;1385488;4004;2;26;1.0;40.85
2021;1385942;4004;2;27;1.0;35.48125
2021;1403879;4004;2;26;1.0;28.7625
2021;1422296;4004;2;29;1.0;50.53333333333333
2021;1533190;4004;2;23;0.0;40.6
2021;5000143;4004;2;23;1.0;41.83928571428572
