CO_CURSO,NT_GER,QT_ALUNOS,QE_I63,QE_I57,QE_I15_A,QE_I15_B,QE_I15_C,QE_I15_D,QE_I15_E,QE_I15_F,QE_I23_ordinal
1116224,29.823529411764707,17,4.142857142857143,4.285714285714286,0.7777777777777778,0.0,0.05555555555555555,0.0,0.05555555555555555,0.1111111111111111,3.0555555555555554
1116226,32.77777777777778,9,3.857142857142857,4.428571428571429,0.9090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,2.6363636363636362
1117717,32.69,10,4.6,5.0,0.5454545454545454,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.0,2.5454545454545454
1117890,38.86060606060607,33,4.0,4.384615384615385,0.6857142857142857,0.02857142857142857,0.02857142857142857,0.11428571428571428,0.11428571428571428,0.02857142857142857,2.657142857142857
1118057,43.15,24,4.5,4.357142857142857,0.6071428571428571,0.10714285714285714,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.0,2.5714285714285716
1118298,41.36486486486486,37,3.7,4.2,0.9411764705882353,0.0,0.0196078431372549,0.0,0.0392156862745098,0.0,2.7058823529411766
1119382,35.142920353982305,226,4.023041474654378,4.170506912442396,0.9054441260744985,0.012893982808022923,0.0329512893982808,0.03151862464183381,0.01002865329512894,0.0071633237822349575,2.644699140401146
111980,25.976190476190474,84,4.255813953488372,4.255813953488372,0.7415730337078652,0.033707865168539325,0.06741573033707865,0.0898876404494382,0.06741573033707865,0.0,2.640449438202247
112086,34.257894736842104,19,4.375,4.375,0.75,0.05,0.1,0.05,0.0,0.05,3.1
1122221,49.23157894736842,76,4.076923076923077,4.410256410256411,0.6344086021505376,0.021505376344086023,0.06451612903225806,0.17204301075268819,0.10752688172043011,0.0,3.172043010752688
11238,34.464999999999996,40,4.0625,4.125,0.8809523809523809,0.0,0.07142857142857142,0.0,0.023809523809523808,0.023809523809523808,2.642857142857143
112680,50.46666666666666,54,3.473684210526316,4.2631578947368425,0.6666666666666666,0.018518518518518517,0.018518518518518517,0.16666666666666666,0.12962962962962962,0.0,3.5925925925925926
1126898,41.132558139534886,43,4.4,4.666666666666667,0.5909090909090909,0.09090909090909091,0.045454545454545456,0.1590909090909091,0.11363636363636363,0.0,3.0454545454545454
1127925,41.83428571428571,35,5.0,4.666666666666667,0.6285714285714286,0.02857142857142857,0.08571428571428572,0.14285714285714285,0.11428571428571428,0.0,2.7142857142857144
1128077,35.51315789473684,38,3.5,4.107142857142857,0.5238095238095238,0.0,0.07142857142857142,0.2619047619047619,0.14285714285714285,0.0,2.5952380952380953
1128364,45.94666666666667,30,3.923076923076923,4.3076923076923075,0.5945945945945946,0.05405405405405406,0.05405405405405406,0.13513513513513514,0.13513513513513514,0.02702702702702703,3.4054054054054053
112846,38.94210526315789,19,3.6363636363636362,4.818181818181818,0.5909090909090909,0.22727272727272727,0.0,0.18181818181818182,0.0,0.0,3.4545454545454546
112893,34.785714285714285,42,4.615384615384615,4.769230769230769,0.6590909090909091,0.045454545454545456,0.045454545454545456,0.18181818181818182,0.06818181818181818,0.0,3.090909090909091
113124,43.225,12,4.8,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.9166666666666665
1132918,46.145833333333336,24,3.4166666666666665,4.416666666666667,0.5384615384615384,0.19230769230769232,0.038461538461538464,0.11538461538461539,0.11538461538461539,0.0,2.6538461538461537
113293,37.105000000000004,40,3.5925925925925926,3.925925925925926,0.6739130434782609,0.06521739130434782,0.021739130434782608,0.2391304347826087,0.0,0.0,2.4782608695652173
1134235,27.991666666666664,24,3.75,3.875,0.96,0.0,0.0,0.04,0.0,0.0,2.44
113455,32.10952380952381,21,3.5454545454545454,4.545454545454546,0.8076923076923077,0.0,0.038461538461538464,0.11538461538461539,0.0,0.038461538461538464,3.076923076923077
1136142,44.54818181818182,110,4.133333333333334,3.8,0.6031746031746031,0.0,0.07936507936507936,0.11904761904761904,0.19047619047619047,0.007936507936507936,2.9126984126984126
113687,32.223076923076924,13,2.0,3.7142857142857144,0.7142857142857143,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0,3.2857142857142856
1137717,42.62380952380953,21,4.5,5.0,0.6521739130434783,0.0,0.043478260869565216,0.17391304347826086,0.13043478260869565,0.0,3.130434782608696
113813,44.15,12,3.5555555555555554,4.555555555555555,0.8461538461538461,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,2.3076923076923075
113937,38.733333333333334,6,4.5,4.333333333333333,0.8,0.0,0.1,0.1,0.0,0.0,2.6
1139692,42.96666666666667,12,3.7,4.0,0.7058823529411765,0.0,0.0,0.29411764705882354,0.0,0.0,2.235294117647059
114286,43.55094339622641,53,4.0,3.6,0.875,0.0,0.03571428571428571,0.05357142857142857,0.03571428571428571,0.0,3.357142857142857
11452,44.507999999999996,75,4.5,4.666666666666667,0.5333333333333333,0.08,0.04,0.06666666666666667,0.26666666666666666,0.013333333333333334,2.8933333333333335
114616,35.62,25,3.642857142857143,3.7857142857142856,0.6785714285714286,0.0,0.10714285714285714,0.07142857142857142,0.14285714285714285,0.0,2.857142857142857
1152636,39.06,40,4.636363636363637,4.636363636363637,0.6222222222222222,0.022222222222222223,0.044444444444444446,0.2222222222222222,0.06666666666666667,0.022222222222222223,3.577777777777778
115374,39.43571428571429,14,4.0,4.666666666666667,0.7894736842105263,0.0,0.05263157894736842,0.0,0.10526315789473684,0.05263157894736842,2.263157894736842
11554,47.64,20,4.0,4.538461538461538,0.4583333333333333,0.125,0.041666666666666664,0.20833333333333334,0.125,0.041666666666666664,2.7083333333333335
115582,46.63552631578948,76,3.7567567567567566,4.297297297297297,0.6419753086419753,0.024691358024691357,0.04938271604938271,0.14814814814814814,0.13580246913580246,0.0,2.876543209876543
1155950,27.620754716981132,53,4.090909090909091,3.9393939393939394,0.9107142857142857,0.0,0.0,0.0,0.03571428571428571,0.05357142857142857,2.4107142857142856
115728,42.147761194029854,67,3.816326530612245,4.26530612244898,0.6363636363636364,0.03896103896103896,0.05194805194805195,0.15584415584415584,0.11688311688311688,0.0,2.675324675324675
1159854,42.12608695652174,23,4.0,4.3125,0.4782608695652174,0.13043478260869565,0.08695652173913043,0.043478260869565216,0.2608695652173913,0.0,2.9130434782608696
1160123,34.844,25,4.4,3.6,0.75,0.03571428571428571,0.03571428571428571,0.14285714285714285,0.0,0.03571428571428571,2.5
116066,39.345454545454544,11,5.0,5.0,0.7692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,2.6923076923076925
