CO_CURSO,n_notas,area,NT_GER,NT_FG,NT_CE,NT_OBJ_FG,NT_DIS_FG,NT_OBJ_CE,NT_DIS_CE,tx_presenca,ODP,OPORT,INFRA,n_qe,Cluster_ID,PCA_X,PCA_Y
45080,22,A10,41.945454545454545,41.690909090909095,42.00454545454546,51.13636363636363,27.522727272727273,41.81818181818182,43.02727272727273,0.9565217391304348,4.5269143554857845,4.661286332714904,4.454353054353054,21,0,-1.9313327244166294,0.8560589864991724
45096,20,A25,39.095,34.285000000000004,40.685,35.625,32.275,45.47,13.59,0.7407407407407407,5.224504816171483,5.233089133089133,5.321548821548822,27,2,0.6666327715733693,-0.23703825750146665
45102,25,A24,29.66,30.616,29.311999999999998,36.0,22.54,31.0,19.664,0.9259259259259259,5.194775132275133,4.948001998001998,5.043658810325478,27,2,-0.034707088701948295,-1.5174780165669515
45111,32,A28,45.125,43.3875,45.671875,50.78125,32.296875,49.6875,22.8125,0.8648648648648649,5.15639455782313,4.948372579801151,5.154805194805195,35,1,0.2423760056519525,1.1159534099282562
45204,66,A28,51.44090909090909,47.34545454545455,52.7939393939394,53.78787878787879,37.68181818181818,55.833333333333336,35.481818181818184,0.8918918918918919,4.837089201877935,4.728819224593872,4.851881490965998,71,1,-0.7736683301347376,2.2003733602834394
45384,80,A11,45.91375,40.5075,47.69375,47.8125,29.55,51.18625,27.869999999999997,0.9411764705882353,5.093730921855922,4.707207673279102,4.4753367003367,84,1,-0.8841915038972825,1.1138832158119776
45715,22,A12,37.27727272727273,38.29545454545455,36.913636363636364,38.06818181818182,38.63636363636363,39.77272727272727,20.75,0.8148148148148148,5.629497354497354,5.49314882648216,5.456228956228956,27,2,1.9055783813889826,-0.2537288013410298
45762,35,A29,39.10857142857143,31.56857142857143,41.60857142857143,38.214285714285715,21.6,45.40571428571429,20.04857142857143,0.813953488372093,5.465460526315789,5.306995635943004,5.307655502392344,38,2,1.2694203875976489,-0.517649673951182
45763,21,A30,38.30952380952381,27.666666666666668,41.857142857142854,34.523809523809526,17.38095238095238,44.86190476190476,24.75238095238095,0.7,5.605729166666666,5.399239649239649,5.553030303030304,24,2,1.7336979066384137,-0.9263770934119717
45988,24,A18,29.620833333333334,37.34583333333333,27.016666666666666,36.979166666666664,37.895833333333336,31.07083333333333,3.9499999999999997,0.96,5.3213333333333335,4.729206793206793,5.137142857142858,25,2,-0.022599028847149892,-1.0246932184448427
46395,37,A07,44.71081081081081,31.294594594594596,49.178378378378376,36.82432432432432,23.0,50.06216216216216,44.1972972972973,0.9487179487179487,5.636858974358974,5.219690992767916,5.241822066822067,39,2,1.6866155400630567,-0.016226370766608624
46474,25,A07,34.668,28.728,36.632000000000005,28.0,29.82,37.904,29.471999999999998,0.9615384615384616,5.526041666666667,5.217147435897436,5.124368686868687,24,2,1.163130761238785,-1.2395473579142067
46546,35,A07,43.191428571428574,43.2,43.16,41.42857142857143,45.857142857142854,41.605714285714285,51.99714285714286,0.8974358974358975,5.100580388080388,4.417579717579717,4.6455569205569205,37,1,-1.2423499953840924,1.0523224437039778
46710,23,A21,40.004347826086956,32.93913043478261,42.34347826086957,38.04347826086956,25.282608695652176,46.95652173913044,16.16086956521739,0.71875,5.349000850340135,5.1032467532467525,5.0376262626262625,28,2,0.31055466026859807,-0.1755410115987512
46748,61,A07,34.337704918032784,29.73934426229508,35.84754098360656,30.12295081967213,29.16393442622951,36.842622950819674,30.191803278688525,0.7176470588235294,4.663496444032158,4.333195177838035,4.642712842712842,70,0,-2.493574833002518,-0.7793761599749606
46845,34,A09,36.14705882352941,31.297058823529408,37.73823529411764,37.86764705882353,21.441176470588236,40.588235294117645,21.564705882352943,0.9714285714285714,5.744485294117647,5.5909592041944975,5.723796791443851,34,2,2.82870766585977,-1.081621903337779
46846,45,A18,33.31333333333333,32.41111111111111,33.60222222222222,34.72222222222222,28.944444444444443,37.86888888888889,9.477777777777778,0.8035714285714286,5.248651603498542,4.908027176904728,5.267630385487529,49,2,0.1373067993102851,-0.9806596097851413
46911,31,A30,35.593548387096774,30.33225806451613,37.32258064516129,28.629032258064516,32.88709677419355,37.52258064516129,36.18064516129032,0.9393939393939394,5.863311688311689,5.842332415059687,5.832506887052341,33,2,3.4549513552973425,-1.2611564924984793
46940,35,A07,36.33428571428571,31.62,37.885714285714286,36.07142857142857,24.942857142857143,38.379999999999995,35.142857142857146,0.9210526315789473,5.459821428571428,5.272715880610617,5.367224880382776,38,2,1.397699927708048,-0.8686976008371113
47059,31,A24,33.593548387096774,30.990322580645163,34.44516129032258,33.46774193548387,27.274193548387096,36.435483870967744,23.22258064516129,0.8378378378378378,5.683809523809524,5.47944079729794,5.673506493506493,35,2,2.2249076339873293,-1.2754448655673845
47069,23,A25,38.00869565217391,33.82608695652174,39.37391304347826,41.30434782608695,22.608695652173914,43.9,13.691304347826087,0.7666666666666667,5.5381163708086785,5.462989574528036,5.516239316239316,26,2,1.7514506765336038,-0.5024807735027077
47325,24,A12,42.7875,40.675000000000004,43.475,39.583333333333336,42.3125,47.708333333333336,19.370833333333334,0.8,5.528846153846154,5.320604395604396,5.604351204351205,26,2,1.7709673870551064,0.5152627750241933
47331,26,A30,31.792307692307695,28.434615384615384,32.88461538461539,31.25,24.21153846153846,35.830769230769235,16.15,0.896551724137931,5.4783333333333335,5.2784022644022635,5.46030303030303,25,2,1.4163437664231213,-1.6054894403187723
47335,28,A12,35.76428571428571,28.61785714285714,38.121428571428574,29.017857142857142,28.017857142857142,42.142857142857146,15.292857142857143,0.9655172413793104,5.482440476190476,5.32611198325484,5.258261183261183,28,2,1.453630237456628,-1.1709813755014922
47338,51,A09,68.34509803921569,50.121568627450976,74.39803921568628,59.31372549019608,36.333333333333336,77.41176470588235,57.28823529411764,0.6986301369863014,5.4928868645973905,5.175697888855783,5.47155325181641,57,1,1.725000963750611,4.034461071091007
47339,34,A09,61.88529411764706,47.10588235294117,66.79705882352941,55.14705882352941,35.044117647058826,69.88235294117646,49.30588235294118,0.7083333333333334,5.323103632478632,5.078544141044141,5.325196408529742,36,1,1.0170750630826695,3.1772471488181093
47340,100,A10,44.801,45.86,44.434,53.0,35.15,44.1,46.3,0.9523809523809523,5.063128007613302,5.143968939557174,5.467341835724189,102,1,0.8977814008010491,1.1554849662171325
47369,24,A22,45.25,41.416666666666664,46.51666666666667,48.958333333333336,30.104166666666668,51.88333333333333,16.1125,0.4528301886792453,5.22355175688509,5.028266794933462,5.306210250654694,27,1,-0.02980074070402486,1.1383133256024938
47454,20,A30,57.779999999999994,42.230000000000004,62.95,46.25,36.2,67.625,36.5,0.24691358024691357,5.4905,5.168402930402931,5.4079999999999995,25,1,0.6617486526186418,2.5545609822040847
47584,55,A07,34.63090909090909,22.581818181818182,38.629090909090905,26.363636363636363,16.90909090909091,38.88545454545454,37.18909090909091,0.8333333333333334,5.460119047619047,5.1303785500214065,5.177146464646464,56,2,0.8116940956637576,-1.6548003737047172
48195,42,A07,29.323809523809523,25.86904761904762,30.45714285714286,30.654761904761905,18.69047619047619,30.530952380952378,30.080952380952382,0.9333333333333333,5.331026785714285,4.676321178821179,4.44659090909091,40,0,-0.929436125320747,-1.7860288076866675
48205,56,A14,24.603571428571428,29.276785714285715,23.026785714285715,39.50892857142857,13.928571428571429,26.789285714285715,1.7214285714285715,0.8235294117647058,4.466803278688525,4.308957436006616,4.6582780570683795,62,0,-2.864987958886393,-1.8688065546387194
48237,28,A23,43.61071428571428,40.55357142857143,44.607142857142854,44.19642857142857,35.089285714285715,47.82142857142857,26.36785714285714,0.9333333333333333,5.611805555555555,5.254310134310134,5.115454545454545,30,2,1.4452029769064545,0.6269445097244774
48271,28,A05,39.660714285714285,38.68928571428571,39.96785714285714,45.982142857142854,27.75,43.53928571428571,19.635714285714283,0.8,4.975260416666667,4.900372023809524,5.006964736652237,32,1,-0.5060361701464745,0.26684039609556626
48650,44,A07,37.00454545454546,27.66818181818182,40.10227272727273,35.79545454545455,15.477272727272727,41.00454545454546,35.002272727272725,0.8301886792452831,5.5424999999999995,5.338917378917379,5.547946127946128,45,2,1.728419233470042,-1.1164173325089781
48831,25,A07,34.716,26.944000000000003,37.304,30.0,22.36,36.856,39.864000000000004,0.8928571428571429,5.445679012345679,5.204090354090353,5.351130351130352,27,2,1.1926496625563363,-1.3769344922917734
48834,104,A07,37.37596153846154,30.103846153846156,39.784615384615385,34.375,23.697115384615383,39.95961538461539,38.829807692307696,0.9285714285714286,5.223418882704596,4.808862830291402,4.569911014911015,106,0,-0.588166966807294,-0.6349879457421613
48876,22,A07,37.24090909090909,24.150000000000002,41.595454545454544,27.84090909090909,18.613636363636363,41.29545454545455,43.34090909090909,0.7096774193548387,5.875,5.674679487179487,5.8136363636363635,28,2,2.88619337865768,-1.4344881619645322
