CO_CURSO,NT_GER,QE_I63_1,QE_I63_2,QE_I63_3,QE_I63_4,QE_I63_5,QE_I63_6,QE_I63_7,QE_I63_8,QE_I15_A,QE_I15_B,QE_I15_C,QE_I15_D,QE_I15_E,QE_I15_F
15262,39.180952380952384,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.13636363636363635,0.36363636363636365,0.36363636363636365,0.0,0.0,0.8636363636363636,0.0,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456
1533190,42.35,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0
15555,29.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.8571428571428571,0.0,0.0,0.14285714285714285,0.0,0.0
1563272,28.2,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.25
15869,44.15918367346939,0.0,0.0,0.017543859649122806,0.12280701754385964,0.19298245614035087,0.6666666666666666,0.0,0.0,0.7368421052631579,0.017543859649122806,0.03508771929824561,0.10526315789473684,0.10526315789473684,0.0
17077,31.950000000000003,0.125,0.0,0.25,0.125,0.125,0.375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1721,46.38125,0.0,0.0,0.0,0.125,0.1875,0.6875,0.0,0.0,0.875,0.0,0.0,0.0625,0.0625,0.0
17898,39.074999999999996,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0
17937,30.097560975609756,0.0,0.0,0.0,0.043478260869565216,0.2391304347826087,0.717391304347826,0.0,0.0,0.7608695652173914,0.0,0.021739130434782608,0.10869565217391304,0.08695652173913043,0.021739130434782608
18001,36.76216216216216,0.0,0.0,0.02564102564102564,0.0,0.10256410256410256,0.8717948717948718,0.0,0.0,0.8205128205128205,0.0,0.05128205128205128,0.07692307692307693,0.05128205128205128,0.0
18039,32.48518518518519,0.0,0.0,0.0,0.0,0.25925925925925924,0.7407407407407407,0.0,0.0,0.5925925925925926,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.07407407407407407,0.0
18149,32.57857142857143,0.0,0.0,0.0,0.42857142857142855,0.21428571428571427,0.35714285714285715,0.0,0.0,0.6428571428571429,0.0,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.0
18162,33.059375,0.0,0.0,0.030303030303030304,0.06060606060606061,0.3939393939393939,0.5151515151515151,0.0,0.0,0.9696969696969697,0.0,0.030303030303030304,0.0,0.0,0.0
18251,45.588,0.0,0.0,0.038461538461538464,0.07692307692307693,0.34615384615384615,0.5384615384615384,0.0,0.0,0.6538461538461539,0.0,0.038461538461538464,0.15384615384615385,0.15384615384615385,0.0
18267,27.675,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0,0.0
18280,25.75714285714286,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0
18285,36.843333333333334,0.0,0.0,0.0,0.03225806451612903,0.3548387096774194,0.6129032258064516,0.0,0.0,0.8387096774193549,0.0,0.0,0.12903225806451613,0.03225806451612903,0.0
18335,41.54788732394366,0.013888888888888888,0.0,0.125,0.09722222222222222,0.2916666666666667,0.4722222222222222,0.0,0.0,0.6527777777777778,0.05555555555555555,0.027777777777777776,0.08333333333333333,0.18055555555555555,0.0
18384,45.5,0.0,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.5384615384615384,0.0,0.0,0.5384615384615384,0.0,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.0
