CO_CURSO,NT_GER,QE_I63_1,QE_I63_2,QE_I63_3,QE_I63_4,QE_I63_5,QE_I63_6,QE_I63_7,QE_I63_8,QE_I15_A,QE_I15_B,QE_I15_C,QE_I15_D,QE_I15_E,QE_I15_F,Cluster_ID,PCA_X,PCA_Y
51139,30.666666666666668,0.0,0.06451612903225806,0.0,0.06451612903225806,0.41935483870967744,0.41935483870967744,0.03225806451612903,0.0,0.8709677419354839,0.0,0.0967741935483871,0.03225806451612903,0.0,0.0,1,-0.18887441544987577,1.1883858880247185
51180,33.75714285714286,0.0,0.0,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.6428571428571429,0.0,0.0,0.7142857142857143,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,0.0,0,0.8101022135213806,-0.4164140137650061
51233,37.019999999999996,0.09090909090909091,0.0,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.0,0.0,0.7272727272727273,0.0,0.18181818181818182,0.0,0.09090909090909091,0.0,1,-2.5618230747307704,-0.26241381537237524
51279,30.549999999999997,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,0.0,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0,0.0,0,1.073220300902415,0.8804225699266163
513,45.15555555555556,0.03508771929824561,0.017543859649122806,0.03508771929824561,0.12280701754385964,0.40350877192982454,0.3508771929824561,0.017543859649122806,0.017543859649122806,0.7017543859649122,0.05263157894736842,0.03508771929824561,0.07017543859649122,0.14035087719298245,0.0,2,-0.32745916480230064,-1.0775956063735952
51307,43.980000000000004,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.0,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0,0.0,1,-1.36327634695613,0.44406970535479795
51527,37.18,0.2,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.0,1,-3.4896973215595253,-1.0028355177363624
51603,43.87777777777777,0.0,0.0,0.0,0.1111111111111111,0.0,0.8888888888888888,0.0,0.0,0.7777777777777778,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0,2.373120974072437,0.06831413613145836
52048,45.619512195121956,0.06818181818181818,0.045454545454545456,0.22727272727272727,0.13636363636363635,0.25,0.2727272727272727,0.0,0.0,0.6818181818181818,0.022727272727272728,0.022727272727272728,0.22727272727272727,0.045454545454545456,0.0,2,-1.597796241902821,-1.1337920272313107
52210,36.71,0.1,0.0,0.0,0.2,0.1,0.6,0.0,0.0,0.4,0.0,0.1,0.4,0.1,0.0,2,0.29376025360821223,-2.7316655668010927
5238,41.03333333333333,0.0,0.0,0.125,0.125,0.25,0.5,0.0,0.0,0.875,0.0,0.0,0.125,0.0,0.0,0,0.29020897332080864,0.6784224426597228
52665,38.093333333333334,0.0,0.0,0.0,0.0625,0.0625,0.8125,0.0625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2.0177140399523363,2.2493224950326147
52809,39.22105263157895,0.047619047619047616,0.14285714285714285,0.047619047619047616,0.23809523809523808,0.19047619047619047,0.3333333333333333,0.0,0.0,0.8571428571428571,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0,1,-1.5113392562034034,0.6494742296055335
53331,47.042857142857144,0.0,0.0,0.0,0.0,0.42857142857142855,0.5714285714285714,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,2,1.4486787881974457,-3.059836691228522
53333,37.957142857142856,0.0,0.0,0.07142857142857142,0.0,0.35714285714285715,0.5714285714285714,0.0,0.0,0.9285714285714286,0.0,0.07142857142857142,0.0,0.0,0.0,0,0.9254103442419215,1.2051180903072123
53342,50.269999999999996,0.0,0.0,0.0,0.0,0.08333333333333333,0.9166666666666666,0.0,0.0,0.75,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0,2.8969784911904086,-0.604866946496682
53520,32.831034482758625,0.0,0.0,0.15,0.25,0.2,0.25,0.15,0.0,0.925,0.0,0.025,0.025,0.025,0.0,1,-1.5928821844072159,2.108567382736023
53788,23.37719298245614,0.05357142857142857,0.05357142857142857,0.16071428571428573,0.21428571428571427,0.25,0.17857142857142858,0.05357142857142857,0.03571428571428571,0.8571428571428571,0.0,0.03571428571428571,0.05357142857142857,0.017857142857142856,0.03571428571428571,1,-2.5636304913857524,1.6951376740995803
53898,32.1625,0.0,0.03571428571428571,0.0,0.21428571428571427,0.25,0.5,0.0,0.0,0.5714285714285714,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,2,-0.08329205069653776,-1.4615058523632602
54172,46.16923076923077,0.07142857142857142,0.0,0.0,0.07142857142857142,0.21428571428571427,0.6428571428571429,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.07142857142857142,0.0,0,1.2331818695665078,0.9381512539736491
54520,44.431111111111115,0.0,0.020833333333333332,0.0,0.14583333333333334,0.16666666666666666,0.6666666666666666,0.0,0.0,0.8125,0.0,0.0,0.1875,0.0,0.0,0,1.3951186373715798,0.16137731012761222
54538,49.24285714285714,0.0,0.0,0.0,0.125,0.25,0.625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5081474095581402,1.3959317617165363
54792,26.616666666666664,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0,0.0,1,-3.0414113772611278,1.341404825371888
5485,29.0425,0.023809523809523808,0.0,0.047619047619047616,0.14285714285714285,0.30952380952380953,0.40476190476190477,0.023809523809523808,0.047619047619047616,0.8571428571428571,0.0,0.023809523809523808,0.07142857142857142,0.023809523809523808,0.023809523809523808,1,-0.34315543768152784,1.3254609829155206
54934,41.627272727272725,0.0,0.0,0.0,0.08333333333333333,0.25,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,2,1.4785715905569725,-1.1869067953669015
54961,39.406666666666666,0.0,0.0,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.29411764705882354,0.0,0.0,0.8235294117647058,0.0,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,1,-1.49172360368801,0.3492785914897575
55096,29.86,0.0625,0.0,0.125,0.125,0.25,0.4375,0.0,0.0,0.875,0.0,0.0625,0.0,0.0625,0.0,1,-0.6820314254708195,1.115117902281686
55402,36.526666666666664,0.0,0.0,0.0,0.0,0.0,0.9375,0.0625,0.0,0.6875,0.0,0.125,0.1875,0.0,0.0,0,2.538944317574565,-0.05139564145162081
55777,38.84230769230769,0.0,0.0,0.0,0.0,0.07142857142857142,0.8928571428571429,0.03571428571428571,0.0,0.9642857142857143,0.0,0.0,0.03571428571428571,0.0,0.0,0,2.550807737486259,1.8025603946577935
